,Unnamed: 0,SALE PRICE,latitude,longitude,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,TAX CLASS = 1,TAX CLASS = 2,RESIDENTIAL,One Family Dwellings,Two Family Dwellings,Walk Up Apartments,Elevator Apartments,Condominiums,MIXED_USE,COMMERCIAL_BUILDINGS,INDUSTRIAL_BUILDINGS,VACANT_LOTS,CIVIC_USE,GOVERNMENT_BLDG,Apt Floor_mv,Apt Floor STAN,LAND SQUARE FEET_mv,LAND SQUARE FEET STAN,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019)
69,69,820000,40.7225283,-73.977249,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.022727272727272728,1,0.01509227413629082,0,0,0
70,70,732376,40.72442579,-73.97755767,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.022727272727272728,1,0.01509227413629082,0,0,1
71,71,33159,40.726323,-73.97998335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.06818181818181818,1,0.01509227413629082,0,1,0
72,72,975000,40.726323,-73.97998335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.125,1,0.01509227413629082,0,1,0
73,73,680000,40.726323,-73.97998335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.13636363636363635,1,0.01509227413629082,0,1,0
74,74,1150000,40.726323,-73.97998335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.1590909090909091,1,0.01509227413629082,0,1,0
75,75,749000,40.726323,-73.97998335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.17045454545454544,1,0.01509227413629082,0,1,0
76,76,1372500,40.72571982,-73.9787786,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,0,1
77,77,692410,40.726868,-73.976923,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.06818181818181818,1,0.01509227413629082,0,1,0
78,78,780000,40.726868,-73.976923,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.10227272727272728,1,0.01509227413629082,0,1,0
79,79,1300000,40.726868,-73.976923,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.11363636363636363,1,0.01509227413629082,0,1,0
80,80,555863,40.7223349,-73.98465034,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.011363636363636364,1,0.01509227413629082,0,0,0
81,81,2000000,40.72824788,-73.98109714,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
82,82,1060000,40.72824788,-73.98109714,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
83,83,640000,40.72824788,-73.98109714,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.056818181818181816,1,0.01509227413629082,0,1,0
84,84,2112868,40.72927745,-73.98001998,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,1
85,85,5100000,40.7225292,-73.98220548,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.0048481491428315655,0,1,0
86,86,6750000,40.72933610000001,-73.98083345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0.005575511391611835,0,1,0
87,87,1050000,40.7222802,-73.97970206,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,0
88,88,800000,40.7220848,-73.97756109999997,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,0,1
89,89,1705568,40.77145911,-73.947429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,1
90,90,1578287,40.77145911,-73.947429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,1
91,91,1573196,40.77145911,-73.947429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,1
92,92,1629200,40.77145911,-73.947429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,1
93,93,2138325,40.77145911,-73.947429,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,1
94,94,1895000,40.72825795,-73.98081065,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,0
95,95,1395000,40.72803776,-73.98059829,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,0
96,96,1550000,40.72803776,-73.98059829,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,0,0
97,97,375000,40.7246516,-73.9813759,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.03409090909090909,1,0.01509227413629082,0,1,0
98,98,690000,40.7246516,-73.9813759,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.045454545454545456,1,0.01509227413629082,0,1,0
99,99,325000,40.7246516,-73.9813759,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.022727272727272728,1,0.01509227413629082,0,1,0
100,100,50000000,40.72468495,-73.97885492,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,0.048576608030079224,0,0,1
